name,carbs_per_100g
"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",41.18
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",53.42
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",79.8
"George Weston Bakeries, Thomas English Muffins",46
"Waffles, buttermilk, frozen, ready-to-heat",41.05
"Waffle, buttermilk, frozen, ready-to-heat, toasted",48.39
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",44.16
"Waffle, plain, frozen, ready-to-heat, microwave",45.41
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",64.3
"Pie Crust, Cookie-type, Chocolate, Ready Crust",64.48
"Pie, Dutch Apple, Commercially Prepared",44.54
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",46.79
"Waffles, chocolate chip, frozen, ready-to-heat",45.68
"Tostada shells, corn",64.43
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",47.84
"Bread, pound cake type, pan de torta salvadoran",51.29
"Pastry, Pastelitos de Guava (guava pastries)",47.76
"Crackers, snack, Goya Crackers",64.35
"Crackers, cream, Gamesa Sabrosas",64.55
"Crackers, cream, La Moderna Rikis Cream Crackers",64.88
"Bread, white wheat",43.91
"Bagels, wheat",48.89
"Cream puff, eclair, custard or cream filled, iced",37.43
"Tortillas, ready-to-bake or -fry, flour, shelf stable",49.27
"Snacks, beef jerky, chopped and formed",11
"Snacks, corn-based, extruded, chips, plain",57.27
"Snacks, corn-based, extruded, chips, barbecue-flavor",56.2
"Snacks, corn-based, extruded, cones, plain",62.9
"Snacks, fruit leather, pieces",82.82
"Snacks, fruit leather, rolls",85.8
"Snacks, granola bars, hard, plain",64.4
"Snacks, granola bars, hard, almond",62
"Snacks, granola bars, soft, uncoated, raisin",66.4
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",63.8
"Candies, honey-combed, with peanut butter",67.41
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",53.4
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",62.2
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",45.06
"Snacks, popcorn, cakes",80.1
"Snacks, popcorn, caramel-coated, with peanuts",80.7
"Snacks, popcorn, caramel-coated, without peanuts",79.1
"Snacks, potato chips, made from dried potatoes, reduced fat",64.76
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",51.3
"Snacks, pretzels, hard, plain, salted",80.39
